COMP_IDstr,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY
M37114,N6-methyladenosine,Nucleotide,"Purine Metabolism, Adenine containing"
M48130,N6-succinyladenosine,Nucleotide,"Purine Metabolism, Adenine containing"
M00594,nicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
M33013,nicotinamide riboside,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
M38666,nicotine,Xenobiotics,Drug
M34598,nifedipine,Xenobiotics,Drug
M01356,nonadecanoate (19:0),Lipid,Long Chain Fatty Acid
M37252,norfluoxetine,Xenobiotics,Drug
M38122,nornicotine,Xenobiotics,Chemical
M52363,noroxycodone,Xenobiotics,Drug
M31539,O-acetylhomoserine,Amino Acid,"Glycine, Serine and Threonine Metabolism"
M36845,o-cresol sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M43334,O-desmethylvenlafaxine,Xenobiotics,Drug
M47883,o-hydroxyatorvastatin,Xenobiotics,Drug
M47879,o-hydroxyatorvastatin lactone,Xenobiotics,Drug
M46111,O-methylcatechol sulfate,Xenobiotics,Benzoate Metabolism
M45413,O-sulfo-L-tyrosine,Xenobiotics,Chemical
M36754,octadecanedioate,Lipid,"Fatty Acid, Dicarboxylate"
M33936,octanoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M52285,oleate/vaccenate (18:1),Lipid,Long Chain Fatty Acid
M38102,oleoyl ethanolamide,Lipid,Endocannabinoid
M35160,oleoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M53260,oleoylcholine,Lipid,Phospholipid Metabolism
M38600,omeprazole,Xenobiotics,Drug
M01493,ornithine,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M01505,orotate,Nucleotide,"Pyrimidine Metabolism, Orotate containing"
M35172,orotidine,Nucleotide,"Pyrimidine Metabolism, Orotate containing"
M20694,oxalate (ethanedioate),Cofactors and Vitamins,Ascorbate and Aldarate Metabolism
M52365,oxycodone,Xenobiotics,Drug
M36103,p-cresol sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M48841,p-cresol-glucuronide*,Amino Acid,Phenylalanine and Tyrosine Metabolism
M47881,p-hydroxyatorvastatin,Xenobiotics,Drug
M01336,palmitate (16:0),Lipid,Long Chain Fatty Acid
M33447,palmitoleate (16:1n7),Lipid,Long Chain Fatty Acid
M53257,palmitoloelycholine,Lipid,Phospholipid Metabolism
M52434,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,Lipid,Sphingolipid Metabolism
M38165,palmitoyl ethanolamide,Lipid,Endocannabinoid
M37506,palmitoyl sphingomyelin (d18:1/16:0),Lipid,Sphingolipid Metabolism
M44681,palmitoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M52944,palmitoylcholine,Lipid,Fatty Acid Metabolism (Acyl Choline)
M01508,pantothenate,Cofactors and Vitamins,Pantothenate and CoA Metabolism
M18254,paraxanthine,Xenobiotics,Xanthine Metabolism
M40461,paroxetine,Xenobiotics,Drug
M01361,pentadecanoate (15:0),Lipid,Long Chain Fatty Acid
M32553,phenol sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M32396,phenolphthalein beta-D-glucuronide,Xenobiotics,Chemical
M15958,phenylacetate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M48425,phenylacetylcarnitine,Amino Acid,Phenylalanine and Tyrosine Metabolism
M52925,phenylacetylglutamate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M35126,phenylacetylglutamine,Amino Acid,Phenylalanine and Tyrosine Metabolism
M00064,phenylalanine,Amino Acid,Phenylalanine and Tyrosine Metabolism
M22130,phenyllactate (PLA),Amino Acid,Phenylalanine and Tyrosine Metabolism
M00566,phenylpyruvate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M42109,phosphate,Energy,Oxidative Phosphorylation
M01600,phosphoethanolamine,Lipid,Phospholipid Metabolism
M00598,phytanate,Xenobiotics,Food Component/Plant
M01512,picolinate,Amino Acid,Tryptophan Metabolism
M15704,pimelate (heptanedioate),Lipid,"Fatty Acid, Dicarboxylate"
M53224,pimeloylcarnitine/3-methyladipoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M33139,pioglitazone,Xenobiotics,Drug
M01444,pipecolate,Amino Acid,Lysine Metabolism
M33935,piperine,Xenobiotics,Food Component/Plant
M32619,pregn steroid monosulfate*,Lipid,Steroid
M40708,pregnanediol-3-glucuronide,Lipid,Steroid
M48394,pregnanolone/allopregnanolone sulfate,Lipid,Steroid
M32562,pregnen-diol disulfate*,Lipid,Steroid
M38170,pregnenolone sulfate,Lipid,Steroid
M35127,pro-hydroxy-pro,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M01898,proline,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M40703,prolylglycine,Peptide,Dipeptide
M32452,propionylcarnitine,Lipid,Fatty Acid Metabolism (also BCAA Metabolism)
M31932,propionylglycine,Lipid,Fatty Acid Metabolism (also BCAA Metabolism)
M48460,propyl 4-hydroxybenzoate sulfate,Xenobiotics,Benzoate Metabolism
M39586,pseudoephedrine,Xenobiotics,Drug
M33442,pseudouridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
M01651,pyridoxal,Cofactors and Vitamins,Vitamin B6 Metabolism
M31555,pyridoxate,Cofactors and Vitamins,Vitamin B6 Metabolism
M46225,pyroglutamine*,Amino Acid,Glutamate Metabolism
M48428,pyrraline,Xenobiotics,Food Component/Plant
M42582,pyruvate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
M39787,quetiapine,Xenobiotics,Drug
M18335,quinate,Xenobiotics,Food Component/Plant
M01899,quinolinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
M38595,ranitidine,Xenobiotics,Drug
M01806,retinol (Vitamin A),Cofactors and Vitamins,Vitamin A Metabolism
M15772,ribitol,Carbohydrate,Pentose Metabolism
M27731,ribonate,Carbohydrate,Pentose Metabolism
M42370,S-1-pyrroline-5-carboxylate,Amino Acid,Glutamate Metabolism
M42382,S-adenosylhomocysteine (SAH),Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M43239,S-allylcysteine,Xenobiotics,Food Component/Plant
M39592,S-methylcysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M38127,S-methylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M21151,saccharin,Xenobiotics,Food Component/Plant
M01515,salicylate,Xenobiotics,Drug
M33384,salicyluric glucuronide*,Xenobiotics,Drug
M01516,sarcosine (N-Methylglycine),Amino Acid,"Glycine, Serine and Threonine Metabolism"
M32398,sebacate (decanedioate),Lipid,"Fatty Acid, Dicarboxylate"
M01648,serine,Amino Acid,"Glycine, Serine and Threonine Metabolism"
M02342,serotonin,Amino Acid,Tryptophan Metabolism
M52954,sitagliptin,Xenobiotics,Drug
M39788,solanidine,Xenobiotics,Food Component/Plant
M00485,spermidine,Amino Acid,Polyamine Metabolism
M17769,sphinganine,Lipid,Sphingolipid Metabolism
M52605,sphinganine-1-phosphate,Lipid,Sphingolipid Metabolism
M42463,"sphingomyelin (d18:1/14:0, d16:1/16:0)*",Lipid,Sphingolipid Metabolism
M52433,"sphingomyelin (d18:1/15:0, d16:1/17:0)*",Lipid,Sphingolipid Metabolism
M52615,"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",Lipid,Sphingolipid Metabolism
M37529,"sphingomyelin (d18:1/18:1, d18:2/18:0)",Lipid,Sphingolipid Metabolism
M48490,"sphingomyelin (d18:1/20:0, d16:1/22:0)*",Lipid,Sphingolipid Metabolism
M48491,"sphingomyelin (d18:1/20:1, d18:2/20:0)*",Lipid,Sphingolipid Metabolism
M52495,"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",Lipid,Sphingolipid Metabolism
M48493,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Lipid,Sphingolipid Metabolism
M47153,"sphingomyelin (d18:1/24:1, d18:2/24:0)*",Lipid,Sphingolipid Metabolism
M47154,"sphingomyelin (d18:2/14:0, d18:1/14:1)*",Lipid,Sphingolipid Metabolism
M42459,"sphingomyelin (d18:2/16:0, d18:1/16:1)*",Lipid,Sphingolipid Metabolism
M52435,"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",Lipid,Sphingolipid Metabolism
M52437,"sphingomyelin (d18:2/24:1, d18:1/24:2)*",Lipid,Sphingolipid Metabolism
M17747,sphingosine,Lipid,Sphingolipid Metabolism
M34445,sphingosine 1-phosphate,Lipid,Sphingolipid Metabolism
M34384,stachydrine,Xenobiotics,Food Component/Plant
M01358,stearate (18:0),Lipid,Long Chain Fatty Acid
M33969,stearidonate (18:4n3),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M19503,stearoyl sphingomyelin (d18:1/18:0),Lipid,Sphingolipid Metabolism
M34409,stearoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M15730,suberate (octanedioate),Lipid,"Fatty Acid, Dicarboxylate"
M52990,suberoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M01437,succinate,Energy,TCA Cycle
M41888,succinimide,Xenobiotics,Chemical
M37058,succinylcarnitine,Energy,TCA Cycle
M01519,sucrose,Carbohydrate,Disaccharides and Oligosaccharides
M46960,sulfate*,Xenobiotics,Chemical
M15336,tartarate,Xenobiotics,Food Component/Plant
M20693,tartronate (hydroxymalonate),Xenobiotics,Bacterial/Fungal
M02125,taurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M33983,tauro-beta-muricholate,Lipid,Primary Bile Acid Metabolism
M18494,taurochenodeoxycholate,Lipid,Primary Bile Acid Metabolism
M18497,taurocholate,Lipid,Primary Bile Acid Metabolism
M32807,taurocholenate sulfate,Lipid,Secondary Bile Acid Metabolism
M12261,taurodeoxycholate,Lipid,Secondary Bile Acid Metabolism
M36850,taurolithocholate 3-sulfate,Lipid,Secondary Bile Acid Metabolism
M35669,tetradecanedioate,Lipid,"Fatty Acid, Dicarboxylate"
M22206,theanine,Xenobiotics,Food Component/Plant
M18392,theobromine,Xenobiotics,Xanthine Metabolism
M18394,theophylline,Xenobiotics,Xanthine Metabolism
M53231,thioproline,Amino Acid,Tryptophan Metabolism
M27738,threonate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism
M01284,threonine,Amino Acid,"Glycine, Serine and Threonine Metabolism"
M36095,thymol sulfate,Xenobiotics,Food Component/Plant
M02761,thyroxine,Amino Acid,Phenylalanine and Tyrosine Metabolism
M37032,ticlopidine,Xenobiotics,Drug
M01598,tigloylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M35428,tiglylcarnitine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M32306,trans-4-hydroxyproline,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M00607,trans-urocanate,Amino Acid,Histidine Metabolism
M52436,tricosanoyl sphingomyelin (d18:1/23:0)*,Lipid,Sphingolipid Metabolism
M32401,trigonelline (N'-methylnicotinate),Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
M40406,trimethylamine N-oxide,Lipid,Phospholipid Metabolism
M00054,tryptophan,Amino Acid,Tryptophan Metabolism
M37097,tryptophan betaine,Amino Acid,Tryptophan Metabolism
M48408,tyramine O-sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M01299,tyrosine,Amino Acid,Phenylalanine and Tyrosine Metabolism
M48674,umbelliferone sulfate,Xenobiotics,Food Component/Plant
M00605,uracil,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
M01604,urate,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
M01670,urea,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M00606,uridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
M01605,ursodeoxycholate,Lipid,Secondary Bile Acid Metabolism
M01649,valine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M40475,valylglycine,Peptide,Dipeptide
M39994,valylleucine,Peptide,Dipeptide
M48733,vanillic alcohol sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M01567,vanillylmandelate (VMA),Amino Acid,Phenylalanine and Tyrosine Metabolism
M38623,venlafaxine,Xenobiotics,Drug
M03147,xanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
M15679,xanthurenate,Amino Acid,Tryptophan Metabolism
M15581,xylose,Carbohydrate,Pentose Metabolism
M46459,X - 01911,,
M46500,X - 02249,,
M32786,X - 02269,,
M46590,X - 07765,,
M46355,X - 09789,,
M47478,X - 10458,,
M32578,X - 11261,,
M46592,X - 11299,,
M46390,X - 11308,,
M49592,X - 11315,,
M46663,X - 11334,,
M46594,X - 11372,,
M46595,X - 11378,,
M32698,X - 11381,,
M46597,X - 11429,,
M46598,X - 11438,,
M46599,X - 11440,,
M46360,X - 11441,,
M46443,X - 11442,,
M46460,X - 11444,,
M46600,X - 11452,,
M46601,X - 11470,,
M46602,X - 11478,,
M47650,X - 11483,,
M47901,X - 11485,,
M47651,X - 11491,,
M46914,X - 11522,,
M46603,X - 11530,,
M47594,X - 11537,,
M46604,X - 11538,,
M32857,X - 11540,,
M47652,X - 11549,,
M46260,X - 11564,,
M47653,X - 11593,,
M47493,X - 11632,,
M33132,X - 11787,,
M33140,X - 11795,,
M46509,X - 11805,,
M46982,X - 11838,,
M46466,X - 11843,,
M46488,X - 11847,,
M46607,X - 11849,,
M46507,X - 11850,,
M46521,X - 11852,,
M47654,X - 11858,,
M47655,X - 11861,,
M47641,X - 11871,,
M46608,X - 11880,,
M46367,X - 11905,,
M46610,X - 12007,,
M46611,X - 12013,,
M47390,X - 12015,,
M47905,X - 12026,,
M46588,X - 12063,,
M47687,X - 12100,,
M47642,X - 12101,,
M52597,X - 12104,,
M52797,X - 12111,,
M47690,X - 12112,,
M46966,X - 12126,,
M47702,X - 12127,,
M47909,X - 12170,,
M46985,X - 12193,,
M46612,X - 12206,,
M46358,X - 12212,,
M46613,X - 12216,,
M46614,X - 12230,,
M47656,X - 12231,,
M47912,X - 12257,,
M47657,X - 12261,,
M47915,X - 12263,,
M47708,X - 12283,,
M47917,X - 12306,,
M47709,X - 12339,,
M46616,X - 12411,,
M46618,X - 12442,,
M46619,X - 12450,,
M47639,X - 12456,,
M33904,X - 12459,,
M46620,X - 12462,,
M46628,X - 12472,,
M46458,X - 12511,,
M46621,X - 12524,,
M47922,X - 12543,,
M46510,X - 12544,,
M47437,X - 12680,,
M47715,X - 12681,,
M47718,X - 12688,,
M46962,X - 12701,,
M47929,X - 12707,,
M46318,X - 12714,,
M47933,X - 12715,,
M47936,X - 12726,,
M46623,X - 12729,,
M47938,X - 12731,,
M46626,X - 12739,,
M46627,X - 12740,,
M46894,X - 12748,,
M47723,X - 12753,,
M46624,X - 12798,,
M46986,X - 12812,,
M46630,X - 12816,,
M47943,X - 12818,,
M46997,X - 12822,,
M46471,X - 12824,,
M47662,X - 12830,,
M46633,X - 12844,,
M46634,X - 12846,,
M46364,X - 12847,,
M46636,X - 12849,,
M46639,X - 12851,,
M47955,X - 12906,,
M47203,X - 13007,,
M47788,X - 13431,,
M46733,X - 13435,,
M46643,X - 13529,,
M47959,X - 13553,,
M47664,X - 13658,,
M47790,X - 13684,,
M46645,X - 13728,,
M47971,X - 13729,,
M47441,X - 13737,,
M46646,X - 13835,,
M47977,X - 13844,,
M46417,X - 13866,,
M46648,X - 13891,,
M46632,X - 14056,,
M47225,X - 14314,,
M46311,X - 14473,,
M46649,X - 14568,,
M46655,X - 14626,,
M46652,X - 14658,,
M46656,X - 14662,,
M47787,X - 14838,,
M47204,X - 14904,,
M46657,X - 14939,,
M46658,X - 15220,,
M46661,X - 15245,,
M46283,X - 15461,,
M46640,X - 15469,,
M46266,X - 15486,,
M46662,X - 15492,,
M46473,X - 15497,,
M46977,X - 15503,,
M47800,X - 15666,,
M46666,X - 15728,,
M47801,X - 16071,,
M47988,X - 16087,,
M46461,X - 16124,,
M46644,X - 16132,,
M47802,X - 16397,,
M47013,X - 16570,,
M46673,X - 16576,,
M47804,X - 16580,,
M46677,X - 16654,,
M46681,X - 16935,,
M46511,X - 16938,,
M46683,X - 16944,,
M46517,X - 16946,,
M46480,X - 16947,,
M46685,X - 16964,,
M47993,X - 17010,,
M46689,X - 17145,,
M46692,X - 17166,,
M46490,X - 17185,,
M46412,X - 17189,,
M40097,X - 17299,,
M47808,X - 17301,,
M46672,X - 17325,,
M47817,X - 17327,,
M47818,X - 17328,,
M47820,X - 17335,,
M47821,X - 17337,,
M47872,X - 17340,,
M47824,X - 17346,,
M46989,X - 17348,,
M48001,X - 17351,,
M47009,X - 17354,,
M48009,X - 17357,,
M48011,X - 17359,,
M46976,X - 17365,,
M46994,X - 17367,,
M46706,X - 17469,,
M46707,X - 17653,,
M46709,X - 17654,,
M48019,X - 17655,,
M46970,X - 17676,,
M48025,X - 17685,,
M46710,X - 17690,,
M47001,X - 17692,,
M48035,X - 17701,,
M46366,X - 18249,,
M47342,X - 18345,,
M46687,X - 18779,,
M48046,X - 18838,,
M48047,X - 18886,,
M47301,X - 18887,,
M47347,X - 18889,,
M47670,X - 18899,,
M46690,X - 18901,,
M46695,X - 18913,,
M46368,X - 18914,,
M47671,X - 18921,,
M46700,X - 18922,,
M48050,X - 18938,,
M46701,X - 19141,,
M46261,X - 19438,,
M47674,X - 19455,,
M47561,X - 19561,,
M46999,X - 20529,,
M46259,X - 21258,,
M46294,X - 21285,,
M46295,X - 21286,,
M46316,X - 21295,,
M46356,X - 21312,,
M46359,X - 21315,,
M46362,X - 21318,,
M46363,X - 21319,,
M46384,X - 21339,,
M46386,X - 21341,,
M46388,X - 21343,,
M46398,X - 21353,,
M46403,X - 21358,,
M46409,X - 21364,,
M46410,X - 21365,,
M46428,X - 21383,,
M46455,X - 21410,,
M46456,X - 21411,,
M46486,X - 21441,,
M46487,X - 21442,,
M46489,X - 21444,,
M46493,X - 21448,,
M46503,X - 21458,,
M46512,X - 21467,,
M46515,X - 21470,,
M46516,X - 21471,,
M46519,X - 21474,,
M46674,X - 21607,,
M46694,X - 21626,,
M46696,X - 21628,,
M46726,X - 21657,,
M46727,X - 21658,,
M46728,X - 21659,,
M46740,X - 21666,,
M46742,X - 21668,,
M46898,X - 21729,,
M46902,X - 21733,,
M46905,X - 21736,,
M46909,X - 21740,,
M46968,X - 21792,,
M46972,X - 21796,,
M46984,X - 21807,,
M46992,X - 21815,,
M46993,X - 21816,,
M46998,X - 21821,,
M47011,X - 21834,,
M47026,X - 21849,,
M47027,X - 21850,,
M47028,X - 21851,,
M47281,X - 22035,,
M47348,X - 22102,,
M47389,X - 22143,,
M47391,X - 22145,,
M47393,X - 22147,,
M47417,X - 22162,,
M47640,X - 22379,,
M47676,X - 22412,,
M47739,X - 22475,,
M47773,X - 22509,,
M47784,X - 22520,,
M48018,X - 22716,,
M48067,X - 22764,,
M48076,X - 22771,,
M48080,X - 22775,,
M48081,X - 22776,,
M48185,X - 22834,,
M48191,X - 22836,,
M48207,X - 22850,,
M48774,X - 23160,,
M48989,X - 23291,,
M48992,X - 23293,,
M48993,X - 23294,,
M48994,X - 23295,,
M48995,X - 23296,,
M48996,X - 23297,,
M49014,X - 23314,,
M49228,X - 23369,,
M49461,X - 23585,,
M49463,X - 23587,,
M49466,X - 23590,,
M49512,X - 23636,,
M49513,X - 23637,,
M49515,X - 23639,,
M49517,X - 23641,,
M49521,X - 23644,,
M49529,X - 23652,,
M49539,X - 23662,,
M49546,X - 23669,,
M49555,X - 23678,,
M49556,X - 23679,,
M49557,X - 23680,,
M49583,X - 23705,,
M49627,X - 23729,,
M49637,X - 23739,,
M49647,X - 23749,,
M49663,X - 23765,,
M49679,X - 23780,,
M49681,X - 23782,,
M49688,X - 23787,,
M49689,X - 23788,,
M52025,X - 23997,,
M52049,X - 24020,,
M52050,X - 24021,,
M52052,X - 24023,,
M52053,X - 24024,,
M52064,X - 24035,,
M52070,X - 24041,,
M52078,X - 24049,,
M52081,X - 24052,,
M52083,X - 24054,,
M52090,X - 24061,,
M52126,X - 24097,,
M52135,X - 24106,,
M52151,X - 24122,,
M52154,X - 24125,,
M52238,X - 24204,,
M52240,X - 24206,,
M52278,X - 24240,,
M52280,X - 24241,,
M52286,X - 24243,,
M52314,X - 24259,,
M52315,X - 24260,,
M52316,X - 24261,,
M52318,X - 24263,,
M52413,X - 24278,,
M52424,X - 24286,,
M52425,X - 24287,,
M52297,X - 24293,,
M52483,X - 24295,,
M52501,X - 24306,,
M52502,X - 24307,,
M52504,X - 24309,,
M52544,X - 24348,,
M52636,X - 24422,,
M52655,X - 24425,,
M52661,X - 24431,,
M52662,X - 24432,,
M52665,X - 24435,,
M52670,X - 24438,,
M52671,X - 24439,,
M52766,X - 24449,,
M52769,X - 24452,,
M52772,X - 24455,,
M52788,X - 24471,,
M52790,X - 24473,,
M52792,X - 24475,,
M52833,X - 24512,,
M52834,X - 24513,,
M52848,X - 24527,,
M52850,X - 24529,,
M52863,X - 24542,,
M52865,X - 24544,,
M52867,X - 24546,,
M52892,X - 24571,,
M52906,X - 24585,,
M53003,X - 24593,,
M53106,X - 24678,,
M53110,X - 24682,,
M53127,X - 24699,,
M53146,X - 24718,,
M53156,X - 24727,,
M53157,X - 24728,,
M53158,X - 24729,,